rating_id,user_id,movie_id,rating,review_date,year_month,title
R10001,15004,1137,4.0,2024-11-01,2024-11,Bank of Dave
R10002,15017,1208,4.5,2024-11-01,2024-11,Fighting with My Family
R10003,15000,1433,4.0,2024-11-01,2024-11,Karen
R10004,15021,2701,3.5,2024-11-01,2024-11,The Crow
R10005,15035,3710,4.5,2024-11-02,2024-11,It Comes at Night
R10006,15001,1125,5.0,2024-11-02,2024-11,Legend
R10007,15002,269,4.0,2024-11-02,2024-11,Warrior
R10008,15021,2754,4.5,2024-11-02,2024-11,Puss in Boots: The Last Wish
R10009,15004,2289,5.0,2024-11-02,2024-11,How to Train Your Dragon: The Hidden World
R10010,15019,431,4.5,2024-11-02,2024-11,Uncharted
R10011,15002,2722,3.0,2024-11-02,2024-11,From Beyond
R10012,15021,2472,1.0,2024-11-02,2024-11,Across the Universe
R10013,15020,1661,3.0,2024-11-03,2024-11,Dogville
R10014,15049,3218,4.5,2024-11-03,2024-11,Walk the Line
R10015,15044,2691,3.0,2024-11-03,2024-11,Shaun of the Dead
R10016,15022,4174,4.5,2024-11-03,2024-11,The Survivor
R10017,15056,1595,4.0,2024-11-03,2024-11,Fruitvale Station
R10018,15054,3742,4.0,2024-11-03,2024-11,Creed II
R10019,15023,1976,4.0,2024-11-03,2024-11,Kiki's Delivery Service
R10020,15007,2308,4.5,2024-11-03,2024-11,Triangle
R10021,15020,109,5.0,2024-11-03,2024-11,The Terminator
R10022,15035,2841,5.0,2024-11-03,2024-11,Murder on the Orient Express
R10023,15020,3001,4.5,2024-11-04,2024-11,Grease
R10024,15019,201,0.0,2024-11-04,2024-11,Watchmen
R10025,15022,3741,4.5,2024-11-04,2024-11,The Karate Kid
R10026,15005,980,5.0,2024-11-04,2024-11,Storks
R10027,15044,1208,5.0,2024-11-04,2024-11,Fighting with My Family
R10028,15015,3405,5.0,2024-11-04,2024-11,Idiocracy
R10029,15083,2051,4.0,2024-11-04,2024-11,Fantastic Beasts: The Secrets of Dumbledore
R10030,15017,1732,5.0,2024-11-04,2024-11,Beauty and the Beast
R10031,15004,636,4.0,2024-11-04,2024-11,"O Brother, Where Art Thou?"
R10032,15056,2661,3.0,2024-11-04,2024-11,Sound of Silence
R10033,15039,51,5.0,2024-11-04,2024-11,Independence Day
R10034,15015,1175,2.5,2024-11-04,2024-11,Eat Pray Love
