payment_id,user_id,amount,payment_date,plan_type,valid_until,churn_status,renewed,valid_date
T67951961023,15000,12.99,2024-11-01,Premium,2024-12-31,active,True,60 days
T68965430008,15000,12.99,2025-01-05,Premium,2025-03-06,active,True,60 days
T56296958896,15000,7.99,2025-03-08,Standard,2025-04-07,active,True,30 days
T77025305054,15001,7.99,2024-11-01,Standard,2024-12-01,active,True,30 days
T73938493845,15001,7.99,2024-12-04,Standard,2025-01-03,churned,False,30 days
T80595234029,15002,12.99,2024-11-01,Premium,2024-12-31,active,True,60 days
T73954774255,15002,12.99,2025-01-01,Premium,2025-03-02,active,True,60 days
T61837475327,15002,7.99,2025-03-04,Standard,2025-04-03,active,True,30 days
T71978840752,15003,12.99,2024-11-01,Premium,2024-12-31,active,True,60 days
T71946924698,15003,12.99,2025-01-01,Premium,2025-03-02,active,True,60 days
T50148784679,15003,12.99,2025-03-06,Premium,2025-05-05,active,True,60 days
T58644841988,15004,7.99,2024-11-01,Standard,2024-12-01,active,True,30 days
T84013522849,15004,7.99,2024-12-05,Standard,2025-01-04,active,True,30 days
T72482353322,15004,7.99,2025-01-06,Standard,2025-02-05,churned,False,30 days
T83883237822,15005,7.99,2024-11-01,Standard,2024-12-01,active,True,30 days
T76865942780,15005,12.99,2024-12-03,Premium,2025-02-01,active,True,60 days
T77059393369,15005,4.99,2025-02-04,Student Plan,2025-03-06,active,True,30 days
T78206972357,15005,4.99,2025-03-11,Student Plan,2025-04-10,active,True,30 days
T97014296147,15006,7.99,2024-11-01,Standard,2024-12-01,churned,False,30 days
T63243950830,15007,4.99,2024-11-01,Student Plan,2024-12-01,active,True,30 days
T52961182357,15007,4.99,2024-12-02,Student Plan,2025-01-01,active,True,30 days
T98234667443,15007,4.99,2025-01-06,Student Plan,2025-02-05,active,True,30 days
T64631456133,15007,4.99,2025-02-06,Student Plan,2025-03-08,active,True,30 days
T68365552825,15007,4.99,2025-03-12,Student Plan,2025-04-11,churned,False,30 days
T78675282880,15008,12.99,2024-11-01,Premium,2024-12-31,active,True,60 days
T95195701636,15008,12.99,2025-01-03,Premium,2025-03-04,active,True,60 days
T89924419025,15008,12.99,2025-03-06,Premium,2025-05-05,active,True,60 days
T56541822237,15009,4.99,2024-11-01,Student Plan,2024-12-01,churned,False,30 days
T67295538033,15010,7.99,2024-11-01,Standard,2024-12-01,churned,False,30 days
T82598609697,15011,4.99,2024-11-01,Student Plan,2024-12-01,active,True,30 days
T86797767119,15011,4.99,2024-12-06,Student Plan,2025-01-05,active,True,30 days
T79595695773,15011,7.99,2025-01-10,Standard,2025-02-09,active,True,30 days
T80996114195,15011,7.99,2025-02-14,Standard,2025-03-16,churned,False,30 days
T80996114195,15011,7.99,2025-02-14,Standard,2025-03-16,churned,False,30 days
T91003413321,15012,12.99,2024-11-01,Premium,2024-12-31,active,True,60 days
T91795527816,15012,12.99,2025-01-01,Premium,2025-03-02,active,True,60 days
T85374816737,15012,12.99,2025-03-04,Premium,2025-05-03,active,True,60 days
T89398746132,15013,4.99,2024-11-01,Student Plan,2024-12-01,active,True,30 days
T88618340917,15013,4.99,2024-12-06,Student Plan,2025-01-05,churned,False,30 days
T97605411177,15014,12.99,2024-11-01,Premium,2024-12-31,churned,False,60 days
T91857696315,15015,12.99,2024-11-01,Premium,2024-12-31,active,True,60 days
T64356152424,15015,12.99,2025-01-02,Premium,2025-03-03,active,True,60 days
